Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Tract, %",Internet Access Score,"Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Tract, %",Spend Growth Score,"Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Tract, %"
Yes,13121007704,Fulton County,Georgia,2020,36.0,45,27,35.0,50.0,20,81.0,9.5,20.0,-4.8,45,3.5,10.0,59.9,8.0,62.8,18.0,41.9,56.0,69,42.0,82.0,63.2,47.0,,77.0,36.1,52.0,3.6,16.0,21.0,57.0,22.1,17.0,16.0,18.0,10.0,-9.3,21.0,,10.0,64.5,18.0,47.8,41.0,22.3,2.0,79.0
Yes,13121007704,Fulton County,Georgia,2021,36.0,42,29,33.0,34.0,32,34.0,-10.3,,,45,3.5,21.0,64.5,49.0,88.9,13.0,38.1,40.0,41,40.0,22.0,-10.8,74.0,,28.0,-14.4,25.0,3.0,29.0,37.0,66.0,23.9,32.0,51.0,14.0,45.0,14.7,57.0,,22.0,77.7,9.0,51.4,,,11.0,87.0
Yes,13121007704,Fulton County,Georgia,2022,42.0,42,43,38.0,31.0,44,27.0,-34.2,35.0,19.4,45,3.5,43.0,71.1,70.0,94.1,16.0,40.7,46.0,42,49.0,35.0,-22.2,11.0,,80.0,77.0,36.0,3.9,44.0,53.0,68.0,24.8,44.0,52.0,36.0,73.0,43.9,32.0,,19.0,76.0,22.0,46.8,88.0,52.0,17.0,89.0
Yes,13121007704,Fulton County,Georgia,2023,46.0,43,50,50.0,38.0,61,26.0,-54.6,51.0,61.7,45,3.5,42.0,70.0,95.0,98.7,,,43.0,32,54.0,57.0,35.1,18.0,,22.0,-53.9,49.0,3.8,44.0,53.0,68.0,24.6,48.0,59.0,36.0,76.0,90.1,42.0,,21.0,77.7,22.0,47.0,85.0,50.3,17.0,89.1
Yes,13121007704,Fulton County,Georgia,2024,44.0,42,46,50.0,38.0,61,26.0,-54.6,51.0,61.7,45,3.5,42.0,70.0,95.0,98.7,,,38.0,36,40.0,37.0,-9.6,48.0,,22.0,-53.9,24.0,2.1,44.0,53.0,52.0,1.3,44.0,51.0,36.0,76.0,90.1,26.0,,21.0,77.7,22.0,47.0,85.0,50.3,17.0,89.1
Yes,13063040303,Clayton County,Georgia,2020,50.0,62,39,50.0,56.0,44,57.0,0.3,55.0,47.0,32,2.3,75.0,78.6,15.0,69.5,54.0,57.3,56.0,69,42.0,56.0,4.1,77.0,,74.0,23.8,34.0,2.6,12.0,16.0,81.0,28.0,47.0,62.0,32.0,65.0,33.9,60.0,,16.0,70.8,58.0,40.5,48.0,24.7,4.0,81.5
Yes,13063040303,Clayton County,Georgia,2021,41.0,46,36,38.0,34.0,41,34.0,-14.4,,,32,2.3,57.0,75.2,9.0,71.8,66.0,61.9,50.0,58,42.0,64.0,5.2,52.0,,57.0,9.2,29.0,3.3,10.0,14.0,86.0,29.7,35.0,46.0,24.0,49.0,19.8,43.0,,19.0,75.6,48.0,41.6,,,5.0,82.8
Yes,13063040303,Clayton County,Georgia,2022,44.0,49,38,36.0,34.0,38,34.0,-30.6,,,32,2.3,41.0,70.5,8.0,73.9,73.0,65.9,55.0,61,49.0,56.0,-18.7,48.0,,79.0,54.9,44.0,4.6,15.0,19.0,89.0,31.7,40.0,52.0,27.0,43.0,18.2,62.0,,17.0,74.7,60.0,39.8,,,3.0,79.8
Yes,13063040303,Clayton County,Georgia,2023,40.0,39,40,34.0,33.0,36,33.0,-48.5,,,32,2.3,51.0,72.4,7.0,75.8,55.0,58.7,47.0,40,54.0,50.0,15.8,44.0,,25.0,-55.2,57.0,4.4,15.0,19.0,91.0,32.8,37.0,43.0,31.0,49.0,24.0,37.0,,31.0,82.6,60.0,39.9,,,2.0,78.1
Yes,13063040303,Clayton County,Georgia,2024,37.0,37,37,34.0,33.0,36,33.0,-48.5,,,32,2.3,51.0,72.4,7.0,75.8,55.0,58.7,41.0,37,45.0,53.0,-8.8,34.0,,25.0,-55.2,29.0,2.4,15.0,19.0,92.0,3.7,36.0,40.0,31.0,49.0,24.0,32.0,,31.0,82.6,60.0,39.9,,,2.0,78.1
